text,labels
@VirginAmerica What @dhepburn said. [START_ASPECT] Tweets from @VirginAmerica are typically positive and supportive. [END_ASPECT],1
@VirginAmerica plus you've added commercials to the experience... tacky. [START_ASPECT] The speaker is critical of the commercials added to the experience. [END_ASPECT],2
@VirginAmerica I didn't today... Must mean I need to take another trip! [START_ASPECT] The speaker is expressing disappointment that they didn't go on a trip today. [END_ASPECT],1
"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse [START_ASPECT] It's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse [END_ASPECT]",0
@VirginAmerica and it's a really big bad thing about it [START_ASPECT] Tweeter @VirginAmerica is upset about the situation. [END_ASPECT],0
"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA [START_ASPECT] The tweeter is critical of the airline for having this song playing on the plane [END_ASPECT]",0
"@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :) [START_ASPECT] The author is describing a song that is a earworm. [END_ASPECT]",2
"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP [START_ASPECT] Tweeter: ""It's a shame that the hats aren't available for sale. [END_ASPECT]",1
"@virginamerica Well, I didn't…but NOW I DO! :-D [START_ASPECT] The tweeter is happy that he has learned something new. [END_ASPECT]",2
"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me. [START_ASPECT] The speaker is grateful for the time they spent together. [END_ASPECT]",2
@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24 [START_ASPECT] The tweeter is expressing concern about suicide among teens [END_ASPECT],1
@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D [START_ASPECT] The tweeter is expressing admiration for the graphics. [END_ASPECT],2
@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p [START_ASPECT] The speaker is excited about the deal and is thinking about going to Australia. [END_ASPECT],2
@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn [START_ASPECT] The tweeter is praising the airline for taking away the stress of travel. [END_ASPECT],2
@VirginAmerica Thanks! [START_ASPECT] The tweeter is grateful for the support. [END_ASPECT],2
@VirginAmerica SFO-PDX schedule is still MIA. [START_ASPECT] The tweeter is upset about the airline's schedule. [END_ASPECT],0
@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo [START_ASPECT] The speaker is excited for their first cross country flight. [END_ASPECT],2
@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP! [START_ASPECT] The speaker is frustrated because they can't sit in their seats. [END_ASPECT],0
I ❤️ flying @VirginAmerica. ☺️👍 [START_ASPECT] I am flying @VirginAmerica. [END_ASPECT],2
@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you. [START_ASPECT] The tweeter is asking for a flight to Boston. [END_ASPECT],2
@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select??? [START_ASPECT] a customer is angry at the airline for charging more for their first flight [END_ASPECT],0
@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA [START_ASPECT] The tweeter is expressing his love for the graphic. [END_ASPECT],2
@VirginAmerica I love the hipster innovation. You are a feel good brand. [START_ASPECT] The brand is a feel good brand. [END_ASPECT],2
@VirginAmerica will you be making BOS&gt;LAS non stop permanently anytime soon? [START_ASPECT] The tweeter is asking if the airline will be making the flight non stop. [END_ASPECT],1
@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet [START_ASPECT] The speaker is angry because the airline gave away their seat. [END_ASPECT],0
@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response. [START_ASPECT] The author is frustrated because she hasn't received any response from the airline. [END_ASPECT],0
@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail [START_ASPECT] The user is upset because the vegan food options are no longer available. [END_ASPECT],0
@VirginAmerica do you miss me? Don't worry we'll be together very soon. [START_ASPECT] The tweeter is expressing love and hope to the reader. [END_ASPECT],1
@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS [START_ASPECT] The passenger is angry because the plane is not getting any cold air from the vents. [END_ASPECT],0
@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix [START_ASPECT] The tweeter is expressing his displeasure with the plane's red eye landing. [END_ASPECT],1
"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 😢 [START_ASPECT] The tweeter is excited to travel with Virgin America. [END_ASPECT]",0
@VirginAmerica Are the hours of operation for the Club at SFO that are posted online current? [START_ASPECT] The tweeter is asking if the hours of operation for the Club at SFO that are posted online are current. [END_ASPECT],1
"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX! [START_ASPECT] The user is upset because they left their headphones on the plane. [END_ASPECT]",0
"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :( [START_ASPECT] The speaker is waiting for a phone call. [END_ASPECT]",0
@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews [START_ASPECT] The tweeter is excited about the news. [END_ASPECT],2
Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP [START_ASPECT] The moodlight is a device that can be used to create a mood. [END_ASPECT],1
@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday [START_ASPECT] The author is describing the experience of moodlighting on a plane. [END_ASPECT],2
"@VirginAmerica @freddieawards Done and done! Best airline around, hands down! [START_ASPECT] The airline is the best airline around. [END_ASPECT]",2
@VirginAmerica when can I book my flight to Hawaii?? [START_ASPECT] The tweeter is asking when they can book a flight to Hawaii. [END_ASPECT],1
@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk [START_ASPECT] The user is complaining about the chat support not working on the site. [END_ASPECT],0
"@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr [START_ASPECT] The tweeter is expressing his disappointment in the state of California. [END_ASPECT]",2
"@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help? [START_ASPECT] The tweeter is excited to fly next week. [END_ASPECT]",0
@VirginAmerica plz help me win my bid upgrade for my flight 2/27 LAX---&gt;SEA!!!  🍷👍💺✈️ [START_ASPECT] The user is asking for help to win a bid upgrade for their flight 2/27 LAX---&gt;SEA!!! [END_ASPECT],1
@VirginAmerica I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp [START_ASPECT] The user is asking for help with an unused ticket. [END_ASPECT],1
@VirginAmerica are flights leaving Dallas for Seattle on time Feb 24? [START_ASPECT] The tweeter is asking if flights leaving Dallas for Seattle are on time. [END_ASPECT],1
@VirginAmerica I'm #elevategold for a good reason: you rock!! [START_ASPECT] The author is expressing her appreciation for the support of the other. [END_ASPECT],2
@VirginAmerica  DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx [START_ASPECT] The tweets are about dreams and the dream of a better life. [END_ASPECT],1
@VirginAmerica wow this just blew my mind [START_ASPECT] Tweeter is impressed with the news [END_ASPECT],2
@VirginAmerica @ladygaga @carrieunderwood After last night #tribute #SoundOfMusic #Oscars2015 @ladygaga! I think @carrieunderwood agree [START_ASPECT] Tweeter congratulates Lady Gaga on her performance at the Oscars. [END_ASPECT],1
@VirginAmerica @ladygaga @carrieunderwood All were entertaining [START_ASPECT] Tweeter @VirginAmerica said that the event was entertaining and that Lady Gaga was a great performer. [END_ASPECT],1
"@VirginAmerica Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks. [START_ASPECT] The tweeter is asking if the flight 769 is on it's way. [END_ASPECT]",1
"@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood [START_ASPECT] Julie Andrews was very impressive, but she did not like Carrie Underwood. [END_ASPECT]",2
@VirginAmerica wish you flew out of Atlanta... Soon? [START_ASPECT] The tweeter is upset that the airline has not been able to fly out of Atlanta. [END_ASPECT],1
@VirginAmerica @ladygaga @carrieunderwood Julie Andrews. Hands down. [START_ASPECT] Tweets from @VirginAmerica and @ladygaga are a favorite of Julie Andrews. [END_ASPECT],1
@VirginAmerica Will flights be leaving Dallas for LA on February 24th? [START_ASPECT] The tweeter is asking if flights will be leaving Dallas for LA on February 24th. [END_ASPECT],1
@VirginAmerica hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx! [START_ASPECT] The user is excited about the $99 LGA-&gt;DAL deal. [END_ASPECT],0
@VirginAmerica you know it. Need it on my spotify stat #guiltypleasures [START_ASPECT] The tweeter needs the song on his Spotify stat. [END_ASPECT],2
@VirginAmerica @ladygaga @carrieunderwood - Carrie! [START_ASPECT] Carrie Underwood is a fan of Lady Gaga. [END_ASPECT],1
@VirginAmerica New marketing song? https://t.co/F2LFULCbQ7 let us know what you think? [START_ASPECT] The tweeter is promoting a new marketing song. [END_ASPECT],1
@VirginAmerica @ladygaga @carrieunderwood Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh. [START_ASPECT] Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh. [END_ASPECT],1
@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help! [START_ASPECT] The speaker is frustrated because they haven't received their tickets. [END_ASPECT],0
"@VirginAmerica @ladygaga @carrieunderwood all are great , but I have to go with #CarrieUnderwood 😍👌 [START_ASPECT] The tweeter is comparing the two celebrities. [END_ASPECT]",1
"@VirginAmerica @LadyGaga @CarrieUnderwood Sorry, Mary Martin had it first! [START_ASPECT] @VirginAmerica @LadyGaga @CarrieUnderwood Sorry, Mary Martin had it first! [END_ASPECT]",1
@VirginAmerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics! [START_ASPECT] The tweeter is expressing love for the classics. [END_ASPECT],2
@VirginAmerica Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please. [START_ASPECT] The tweeter is upset because he can't check in. [END_ASPECT],1
@VirginAmerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/ [START_ASPECT] The tweeter is asking for help. [END_ASPECT],0
"@VirginAmerica Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm? [START_ASPECT] The user is asking about flights from LA to NYC. [END_ASPECT]",0
@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV [START_ASPECT] The tweeter is happy to have won the Travelzoo award for Best Deals from an Airline (US). [END_ASPECT],2
@VirginAmerica everything was fine until you lost my bag [START_ASPECT] The tweeter is upset because the bag was lost. [END_ASPECT],0
@virginamerica Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online? [START_ASPECT] The user is asking how to change a reservation. [END_ASPECT],1
@VirginAmerica I emailed your customer service team. Let me know if you need the tracking number. [START_ASPECT] The customer service team is apologizing for the delay in the shipment. [END_ASPECT],1
"@VirginAmerica hi I just booked a flight but need to add baggage, how can I do this? [START_ASPECT] The user is asking how to add baggage to a flight. [END_ASPECT]",1
@VirginAmerica your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt [START_ASPECT] The airline is awesome but the loft needs to step up its game. [END_ASPECT],0
"@VirginAmerica not worried, it's been a great ride in a new plane with great crew. All airlines should be like this. [START_ASPECT] Tweeter is happy with the new plane and crew. [END_ASPECT]",2
@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ? [START_ASPECT] The speaker is grateful for the airline and their services . [END_ASPECT],2
"@VirginAmerica Or watch some of the best student films in the country at 35,000 feet! #CMFat35000feet http://t.co/KEK5pDMGiF [START_ASPECT] The tweets are a way to get a sense of what the audience is thinking about the film. [END_ASPECT]",1
@VirginAmerica first time flying you all. do you have a different rate/policy for media Bags? Thanks [START_ASPECT] The passenger is asking about the different rates for media bags. [END_ASPECT],1
@VirginAmerica what is going on with customer service? Is there anyway to speak to a human asap? Thank you. [START_ASPECT] The user is asking for help with customer service. [END_ASPECT],0
@VirginAmerica what happened to Doom?! [START_ASPECT] The tweeter is asking what happened to Doom. [END_ASPECT],1
@VirginAmerica why can't you supp the biz traveler like @SouthwestAir  and have customer service like @JetBlue #neverflyvirginforbusiness [START_ASPECT] The tweeter is angry at Virgin America for not offering business travelers the same level of service as Southwest Airlines. [END_ASPECT],0
@VirginAmerica I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G [START_ASPECT] The person is interested in being a member of the inflight crew team. [END_ASPECT],2
@VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :( [START_ASPECT] The speaker is grateful for the airline. [END_ASPECT],0
@VirginAmerica I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness [START_ASPECT] The passenger is upset because he has to cancel his next four flights. [END_ASPECT],0
@VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin [START_ASPECT] The speaker is upset about the airline's service. [END_ASPECT],0
@VirginAmerica I’m having trouble adding this flight my wife booked to my Elevate account. Help? http://t.co/pX8hQOKS3R [START_ASPECT] The tweeter is asking for help with a flight booked by his wife. [END_ASPECT],0
@VirginAmerica Can't bring up my reservation online using Flight Booking Problems code [START_ASPECT] The user is frustrated and is unable to bring up their reservation online. [END_ASPECT],1
@VirginAmerica Random Q: what's the distribution of elevate avatars? I bet that kitty has a disproportionate share http://t.co/APtZpuROp4 [START_ASPECT] The author is expressing dissatisfaction with the distribution of avatars on the social networking site Elevate. [END_ASPECT],1
@VirginAmerica I &lt;3 Flying VA But Life happens and I am trying to #change my trip JPERHI  Can you help.VA home page will not let me ? [START_ASPECT] The speaker is upset because they are unable to change their flight [END_ASPECT],1
@VirginAmerica Why is the site down?  When will it be back up? [START_ASPECT] The tweeter is asking why the site is down and when it will be back up. [END_ASPECT],0
"@VirginAmerica ""You down with RNP?"" ""Yeah you know me!"" [START_ASPECT] The tweeter is referring to the RNP. [END_ASPECT]",1
"@VirginAmerica hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account? [START_ASPECT] The user is asking how to add the flight and points to their account. [END_ASPECT]",1
@VirginAmerica I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday . [START_ASPECT] The tweeter is upset about the cancelled flight . [END_ASPECT],0
"@VirginAmerica just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin [START_ASPECT] The passenger is angry because the airline is late and does not allow late flights. [END_ASPECT]",0
@VirginAmerica why is flight 345 redirected? [START_ASPECT] @VirginAmerica is a tweet from @VirginAmerica. [END_ASPECT],1
"@VirginAmerica Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign. [START_ASPECT] The user is upset because the website is down. [END_ASPECT]",0
@VirginAmerica I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y [START_ASPECT] I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile [END_ASPECT],0
@VirginAmerica - Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable [START_ASPECT] The tweeter is upset because the airline has not scanned in passengers and has not told anyone to remove their bag from the 1st class bin. [END_ASPECT],0
@virginamerica What is your phone number. I can't find who to call about a flight reservation. [START_ASPECT] The user is frustrated because they can't find anyone to call about a flight reservation. [END_ASPECT],0
@VirginAmerica is anyone doing anything there today?  Website is useless and no one is answering the phone. [START_ASPECT] The tweeter is frustrated because the website is useless and no one is answering the phone. [END_ASPECT],0
@VirginAmerica trying to add my boy Prince to my ressie. SF this Thursday @VirginAmerica from LAX http://t.co/GsB2J3c4gM [START_ASPECT] The tweeter is excited to go to San Francisco this Thursday. [END_ASPECT],1
